,ds,yhat,yhat_lower,yhat_upper
621,2023-06-23,3244.6344966103184,3135.7313515272067,3353.9174109190885
622,2023-06-26,3250.1740219566486,3144.4287332780973,3362.651664498446
623,2023-06-27,3251.3012304430235,3149.9140424122456,3357.141710084726
624,2023-06-28,3257.385541095296,3149.1078056815545,3356.835954925651
625,2023-06-30,3259.577932979893,3144.407184635875,3361.664314355205
626,2023-07-03,3261.359639379457,3159.7061095980484,3371.729172324047
627,2023-07-04,3260.866474867171,3158.6833238952863,3362.8273242816776
628,2023-07-05,3265.1911271565264,3159.415526548783,3367.1172734845727
629,2023-07-06,3265.6386026387295,3163.524577473976,3371.879483814106
630,2023-07-07,3263.5957967193176,3158.691735600847,3373.2774671648226
631,2023-07-10,3259.7083774437833,3151.554886433112,3374.066584782053
632,2023-07-11,3257.5328939061637,3152.4856181776267,3359.9194970933586
633,2023-07-12,3260.36757170379,3150.979896569541,3362.294723410064
634,2023-07-13,3259.5693481789726,3148.6910098481526,3361.9699814737783
635,2023-07-14,3256.57430504752,3148.0652425600492,3356.4950556527556
636,2023-07-17,3252.013780736953,3142.3654599846896,3353.1177398904933
637,2023-07-18,3250.4511740514577,3146.810208176092,3358.3531522109356
638,2023-07-19,3254.352546725081,3151.4759542929237,3361.801667529122
639,2023-07-20,3255.0824896595814,3150.5673830709206,3361.3657161932206
640,2023-07-21,3254.0749532185005,3150.782074918276,3355.7349719046774
641,2023-07-24,3258.0607871302464,3147.8108008026725,3351.541288020796
642,2023-07-25,3260.101479468416,3157.176614981039,3368.583482307458
643,2023-07-26,3267.906968872376,3159.254722885896,3378.74966185728
644,2023-07-27,3272.7837988828346,3158.3369821016336,3374.879791520501
645,2023-07-28,3276.101262228618,3171.98422289656,3373.0698472940467
646,2023-07-31,3293.4141512391607,3193.9904851237256,3407.6296174482404
647,2023-08-01,3299.763273586079,3193.949787080639,3402.349184478212
648,2023-08-02,3311.6842628034356,3211.28995609715,3423.473573198209
649,2023-08-03,3320.4114882266144,3220.474369863652,3431.666850589523
650,2023-08-04,3327.2466981927887,3219.548314794459,3431.6507371314015
651,2023-08-07,3352.5430776978737,3244.2467303501753,3458.0958257462426
652,2023-08-08,3360.548621104199,3258.611546199662,3460.0906103119105
653,2023-08-09,3373.5748422363654,3265.972343829111,3486.394327696875
654,2023-08-10,3382.8435331748765,3271.517100506182,3496.4244309160754
655,2023-08-11,3389.6555525457597,3291.4802894994755,3492.688077828929
656,2023-08-14,3411.659186691908,3311.0608817483503,3520.0384461449194
657,2023-08-16,3428.163246075882,3318.005136376017,3537.7285990014966
658,2023-08-17,3434.6234897620234,3329.0657516944816,3545.740421842324
659,2023-08-18,3438.350201196684,3333.191141897819,3542.8938435928253
660,2023-08-21,3450.1582635863456,3349.2839055422105,3550.1254495033904
661,2023-08-22,3452.6376906863907,3354.2907700971546,3560.2300606279764
662,2023-08-23,3459.8235696107704,3356.185452421229,3575.0615423550407
663,2023-08-24,3463.0653100355894,3357.4569385998598,3575.6576159962506
664,2023-08-25,3463.791919722893,3357.170602669153,3564.104015575485
665,2023-08-28,3468.4148106808902,3366.9385558230765,3583.1034256882895
666,2023-08-29,3469.2267209748547,3371.3037680816838,3575.4834594486083
667,2023-08-30,3475.144594442197,3370.6656332602183,3583.9663614104156
668,2023-08-31,3477.5231498359794,3363.4546600451476,3582.35177504385
669,2023-09-01,3477.7859121696492,3369.5209794519965,3582.0596907775994
670,2023-09-04,3483.2056565963076,3377.754993644807,3591.5384338308572
671,2023-09-05,3484.897887580705,3378.239983949248,3591.3989291591215
672,2023-09-06,3491.927002470882,3382.3282550703707,3594.61975004127
673,2023-09-07,3495.5931769134054,3390.057553066014,3603.517972892529
674,2023-09-08,3497.2616836102807,3390.84572370442,3603.4670571973174
675,2023-09-11,3507.002861902798,3400.8057344116332,3615.1677658538556
676,2023-09-12,3509.972644470015,3405.1618614151284,3618.5606630419265
677,2023-09-13,3518.1062841828802,3408.2121673900106,3626.0346737108234
678,2023-09-14,3522.656277392562,3420.3188395308753,3619.2915948275404
679,2023-09-15,3524.9466998205203,3414.038598400477,3626.6596025135977
680,2023-09-18,3534.6851004390555,3422.8093507422714,3635.9184536704215
681,2023-09-20,3544.0801883400945,3434.771615286171,3645.2467146136564
682,2023-09-21,3547.264616476525,3443.532073498859,3650.6705924190323
683,2023-09-22,3547.868058850231,3440.9823988410594,3654.8455151487346
684,2023-09-25,3550.8856536847884,3442.936149690191,3652.485889547404
685,2023-09-26,3550.497835940333,3439.3549874239225,3662.2533555739196
686,2023-09-27,3554.7768371122074,3451.3632874723485,3644.7449713902683
687,2023-09-28,3555.0277657892975,3449.195413106003,3660.641857537343
688,2023-09-29,3552.635532443856,3449.0332869820836,3662.708448769696
689,2023-10-03,3543.489550497356,3433.970000081436,3655.2321961798775
690,2023-10-04,3545.05526737802,3429.5122580192487,3647.479197657057
691,2023-10-05,3542.7409654447856,3433.73727786969,3650.7069789059806
692,2023-10-06,3537.950092329077,3429.47664120198,3644.4555663857072
693,2023-10-09,3525.9333744751734,3418.544477822294,3630.6515223791175
694,2023-10-10,3521.0499976072992,3417.052002607247,3624.065117076613
695,2023-10-11,3521.13593591192,3415.558972343511,3626.3601515107293
696,2023-10-12,3517.5099564313323,3408.2447938317737,3620.6836963526175
697,2023-10-13,3511.5625780420914,3403.620374013673,3620.1401780659367
698,2023-10-16,3496.862134527232,3391.0976086047854,3609.2691027512974
699,2023-10-17,3491.299569982117,3376.6155830760854,3599.3486049591897
700,2023-10-18,3490.795134299007,3381.6889442927773,3594.790367849233
